generation_bin,bin_start,bin_end,cases,excluded_cases,timeout_count,recovered,recovery_rate,library_recovered,library_recovery_rate,fixed_recovered,fixed_recovery_rate,random_recovered,random_recovery_rate,avg_library_size,avg_total_rollouts,avg_rollouts_recovered_cases,judge_base_url,judge_model,rubric_version
1,1,15,15,0,0,11,0.7333,6,0.4000,11,0.7333,4,0.2667,4.8000,18.0000,13.7273,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
2,16,30,15,0,0,11,0.7333,6,0.4000,11,0.7333,7,0.4667,16.4667,20.7333,15.8182,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
3,31,45,15,0,0,10,0.6667,7,0.4667,9,0.6000,3,0.2000,26.3333,18.1333,11.3000,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
4,46,60,15,0,0,7,0.4667,4,0.2667,7,0.4667,6,0.4000,34.4667,24.3333,14.1429,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
5,61,75,15,0,0,12,0.8000,9,0.6000,10,0.6667,6,0.4000,43.8000,13.7333,8.7500,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
6,76,90,15,0,0,11,0.7333,9,0.6000,8,0.5333,2,0.1333,56.6000,13.7333,7.5455,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
7,91,105,15,0,0,14,0.9333,12,0.8000,9,0.6000,5,0.3333,68.4667,8.0667,6.6429,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
8,106,115,10,0,0,7,0.7000,5,0.5000,6,0.6000,6,0.6000,79.0000,17.5000,10.5714,http://127.0.0.1:8000/v1,qwen2.5-7b-instruct,rubric-v1
