case_id,perturbation_label,predicted_label,top_replay,baseline_name,baseline_answer_score,baseline_evidence_score,replay_answer_score,replay_evidence_score,recovery_gain,oracle_write_answer_score,oracle_write_evidence_score,oracle_write_recovery_gain,oracle_compression_answer_score,oracle_compression_evidence_score,oracle_compression_recovery_gain,verbatim_event_oracle_answer_score,verbatim_event_oracle_evidence_score,verbatim_event_oracle_recovery_gain,oracle_retrieval_answer_score,oracle_retrieval_evidence_score,oracle_retrieval_recovery_gain,injection_oracle_answer_score,injection_oracle_evidence_score,injection_oracle_recovery_gain,evidence_given_reasoning_answer_score,evidence_given_reasoning_evidence_score,evidence_given_reasoning_recovery_gain,top2_labels,is_ambiguous,diagnosis_cost,attribution_correct
v0-write-001,write_error,write_error,oracle_write,vector_memory,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,write_error,false,6.200,true
v0-compression-001,compression_error,compression_error,oracle_compression,vector_memory,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,compression_error,false,6.200,true
v0-premature-extraction-001,premature_extraction_error,premature_extraction_error,verbatim_event_oracle,vector_memory,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,premature_extraction_error,false,6.200,true
v0-retrieval-001,retrieval_error,retrieval_error,oracle_retrieval,vector_memory,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,retrieval_error,false,6.200,true
v0-injection-001,injection_error,injection_error,injection_oracle,vector_memory,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,injection_error,false,6.200,true
v0-reasoning-001,reasoning_error,reasoning_error,evidence_given_reasoning,vector_memory,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,reasoning_error,false,6.200,true
